2025-03-05 00:34:34,243 Epochs: [0/300]; Train loss: 0.104054; Valid loss: 0.068827; mapping: 0.000000; lr: 0.000100 

2025-03-05 00:39:27,997 Epochs: [1/300]; Train loss: 0.097730; Valid loss: 0.068825; mapping: 0.000000; lr: 0.000100 

2025-03-05 00:44:21,173 Epochs: [2/300]; Train loss: 0.095036; Valid loss: 0.073044; mapping: 0.000000; lr: 0.000100 

2025-03-05 00:49:18,192 Epochs: [3/300]; Train loss: 0.094055; Valid loss: 0.067070; mapping: 0.000000; lr: 0.000100 

2025-03-05 00:54:08,391 Epochs: [4/300]; Train loss: 0.092904; Valid loss: 0.065703; mapping: 0.000000; lr: 0.000100 

2025-03-05 00:58:59,836 Epochs: [5/300]; Train loss: 0.092111; Valid loss: 0.067562; mapping: 0.000000; lr: 0.000100 

2025-03-05 01:03:51,243 Epochs: [6/300]; Train loss: 0.092616; Valid loss: 0.069349; mapping: 0.000000; lr: 0.000100 

2025-03-05 01:08:39,088 Epochs: [7/300]; Train loss: 0.091459; Valid loss: 0.066440; mapping: 0.000000; lr: 0.000100 

2025-03-05 01:13:32,558 Epochs: [8/300]; Train loss: 0.091261; Valid loss: 0.069304; mapping: 0.000000; lr: 0.000100 

2025-03-05 01:18:20,819 Epochs: [9/300]; Train loss: 0.091476; Valid loss: 0.066029; mapping: 0.000000; lr: 0.000100 

2025-03-05 01:23:20,700 Epochs: [10/300]; Train loss: 0.091645; Valid loss: 0.066097; mapping: 0.000000; lr: 0.000030 

2025-03-05 01:28:14,330 Epochs: [11/300]; Train loss: 0.088765; Valid loss: 0.064462; mapping: 0.000000; lr: 0.000030 

2025-03-05 01:33:05,437 Epochs: [12/300]; Train loss: 0.090586; Valid loss: 0.067814; mapping: 0.000000; lr: 0.000030 

2025-03-05 01:37:58,799 Epochs: [13/300]; Train loss: 0.089711; Valid loss: 0.066008; mapping: 0.000000; lr: 0.000030 

2025-03-05 01:42:52,278 Epochs: [14/300]; Train loss: 0.089137; Valid loss: 0.061548; mapping: 0.000000; lr: 0.000030 

2025-03-05 01:47:41,747 Epochs: [15/300]; Train loss: 0.090063; Valid loss: 0.065706; mapping: 0.000000; lr: 0.000030 

